Time,Zeroed,Temp1,Temp2
211.2,-0.3,1,15
211.4,-0.25,6,6
211.6,-0.15,7,12
211.8,-0.25,1,12
212,-0.2,5,14
212.2,-0.15,6,7
212.4,-0.2,0,15
212.6,-0.3,3,7
212.8,-0.35,0,10
213,-0.35,0,7
213.2,-0.35,6,4
213.4,-0.1,7,12
213.6,-0.25,8,5
213.8,-0.25,9,12
214,-0.35,4,6
214.2,-0.2,7,12
214.4,-0.4,0,4
214.6,-0.35,3,8
214.8,-0.15,0,13
215,-0.15,0,4
215.2,-0.25,4,4
215.4,-0.15,8,14
215.6,-0.4,5,9
215.8,-0.25,7,13
216,-0.05,2,9
216.2,-0.25,6,14
216.4,-0.3,4,7
216.6,-0.3,7,15
216.8,-0.25,7,6
217,-0.25,1,12
217.2,-0.2,10,10
217.4,-0.35,9,14
217.6,-0.3,8,6
217.8,-0.35,1,9
218,-0.3,0,5
218.2,-0.35,9,4
218.4,-0.3,9,3
218.6,-0.25,0,6
218.8,-0.15,10,7
219,-0.25,3,14
219.2,-0.05,1,14
219.4,-0.3,2,6
219.6,-0.05,5,8
219.8,-0.1,4,3
220,-0.35,2,5
220.2,-0.25,10,6
220.4,-0.2,7,13
220.6,0,0,5
220.8,-0.25,1,12
221,-0.45,8,7
221.2,-0.25,8,12
221.4,-0.2,0,10
221.6,-0.15,4,14
221.8,-0.3,2,12
222,-0.2,5,12
222.2,-0.05,9,10
222.4,-0.15,4,12
222.6,-0.25,5,9
222.8,-0.15,5,9
223,-0.25,2,8
223.2,-0.1,8,11
223.4,-0.2,10,15
223.6,-0.3,2,6
223.8,-0.25,9,14
224,-0.45,9,3
224.2,-0.2,7,10
224.4,-0.25,9,11
224.6,-0.25,6,14
224.8,-0.2,4,10
225,-0.3,8,13
225.2,-0.25,8,10
225.4,-0.25,1,10
225.6,-0.25,9,13
225.8,-0.1,6,13
226,-0.5,5,15
226.2,-0.35,2,13
226.4,-0.4,3,4
226.6,-0.35,2,7
226.8,-0.4,8,6
227,-0.3,1,8
227.2,-0.4,4,9
227.4,0.05,7,9
227.6,0,8,14
227.8,-0.2,6,10
228,-0.35,6,8
228.2,-0.1,5,9
228.4,-0.35,2,14
228.6,-0.4,1,6
228.8,-0.45,0,5
229,-0.45,5,15
229.2,-0.3,3,13
229.4,-0.35,6,6
229.6,-0.35,5,4
229.8,-0.2,10,4
230,-0.3,5,12
230.2,-0.2,5,14
230.4,-0.3,3,11
230.6,-0.35,5,14
230.8,-0.25,3,6
231,-0.3,1,15
231.2,-0.45,7,8
231.4,-0.25,6,10
231.6,-0.15,7,13
231.8,-0.1,9,12
232,-0.15,6,14
232.2,-0.25,2,13
232.4,-0.3,2,14
232.6,-0.2,0,5
232.8,-0.45,5,10
233,-0.2,10,4
233.2,-0.3,10,11
233.4,-0.2,10,4
233.6,-0.45,1,10
233.8,-0.4,7,7
234,-0.25,6,7
234.2,-0.15,4,3
234.4,-0.3,7,8
234.6,-0.3,1,11
234.8,-0.2,1,10
235,-0.15,5,10
235.2,-0.15,8,11
235.4,-0.05,7,11
235.6,-0.15,7,13
235.8,-0.4,3,14
236,-0.25,9,14
236.2,-0.3,1,7
236.4,-0.3,8,10
236.6,-0.45,7,4
236.8,-0.3,5,12
237,-0.35,5,10
237.2,-0.1,8,8
237.4,-0.35,6,12
237.6,-0.25,4,10
237.8,-0.15,5,10
238,-0.5,2,7
238.2,-0.35,5,12
238.4,-0.15,2,13
238.6,-0.4,10,5
238.8,-0.3,0,9
239,-0.2,4,11
239.2,-0.15,10,10
239.4,-0.35,10,4
239.6,-0.15,0,9
239.8,-0.4,4,10
240,-0.4,5,5
240.2,-0.3,5,15
240.4,-0.15,10,12
240.6,-0.4,6,8
240.8,-0.4,6,3
241,-0.15,6,3
241.2,-0.1,6,14
241.4,-0.05,9,11
241.6,-0.3,8,12
241.8,-0.2,9,12
242,-0.3,1,8
242.2,-0.35,1,14
242.4,-0.3,5,5
242.6,-0.1,1,15
242.8,-0.15,1,7
243,-0.15,10,4
243.2,-0.3,0,6
243.4,-0.3,0,5
243.6,-0.5,0,11
243.8,-0.35,2,12
244,-0.3,9,5
244.2,-0.2,1,4
244.4,-0.6,3,12
244.6,-0.4,7,9
244.8,-0.55,3,8
245,-0.15,9,9
245.2,-0.4,2,6
245.4,-0.1,0,13
245.6,-0.1,7,10
245.8,-0.2,5,15
246,-0.2,5,13
246.2,0.05,4,3
246.4,-0.15,4,13
246.6,-0.25,0,11
246.8,-0.4,3,9
247,-0.3,3,4
247.2,-0.45,5,5
247.4,-0.4,7,13
247.6,-0.35,3,8
247.8,-0.2,9,10
248,-0.2,5,6
248.2,-0.2,2,12
248.4,-0.2,3,4
248.6,-0.35,10,7
248.8,-0.55,2,3
249,-0.2,8,15
249.2,-0.1,4,15
249.4,-0.35,0,15
249.6,-0.45,1,12
249.8,-0.2,9,14
250,-0.2,5,4
250.2,-0.3,3,10
250.4,-0.4,5,5
250.6,-0.25,5,5
250.8,-0.25,3,11
251,-0.25,1,14
251.2,-0.05,6,11
251.4,-0.3,3,14
251.6,-0.25,0,6
251.8,-0.4,7,11
252,-0.2,9,5
252.2,-0.3,7,12
252.4,-0.2,9,4
252.6,-0.3,6,13
252.8,-0.25,4,8
253,-0.2,1,10
253.2,-0.5,9,5
253.4,-0.25,8,9
253.6,-0.35,6,6
253.8,-0.2,4,9
254,-0.25,8,4
254.2,-0.3,9,10
254.4,-0.2,7,8
254.6,-0.2,6,15
254.8,-0.5,0,5
255,-0.4,8,5
255.2,-0.25,2,8
255.4,-0.2,1,12
255.6,-0.3,9,14
255.8,-0.3,6,14
256,-0.35,0,12
256.2,-0.25,4,13
256.4,-0.25,8,6
256.6,-0.25,0,5
256.8,-0.2,5,3
257,-0.2,7,3
257.2,-0.3,0,4
257.4,-0.15,3,10
257.6,-0.25,5,3
257.8,-0.2,2,4
258,-0.35,3,11
258.2,-0.3,4,15
258.4,-0.6,7,10
258.6,-0.25,2,8
258.8,-0.05,9,12
259,-0.25,1,14
259.2,-0.2,0,8
259.4,-0.65,2,4
259.6,-0.45,10,4
259.8,-0.15,6,15
260,-0.2,3,4
260.2,-0.15,0,6
260.4,-0.2,7,14
260.6,-0.35,7,6
260.8,-0.25,0,12
261,-0.1,6,6
261.2,-0.3,8,13
261.4,-0.5,6,8
261.6,-0.35,4,12
261.8,-0.2,4,14
262,-0.3,6,9
262.2,-0.55,7,4
262.4,-0.3,0,8
262.6,-0.25,10,10
262.8,-0.45,5,4
263,-0.45,0,13
263.2,0,5,5
263.4,0,5,10
263.6,-0.25,3,11
263.8,-0.35,2,4
264,-0.3,2,5
264.2,-0.35,7,12
264.4,-0.3,5,7
264.6,-0.4,0,7
264.8,-0.25,5,5
265,-0.15,5,13
265.2,-0.2,1,10
265.4,-0.4,4,8
265.6,-0.4,5,3
265.8,-0.25,6,10
266,-0.35,8,4
266.2,-0.35,0,7
266.4,-0.15,5,6
266.6,-0.35,8,14
266.8,-0.35,2,15
267,-0.4,0,15
267.2,-0.45,8,11
267.4,-0.3,4,5
267.6,-0.25,0,6
267.8,-0.25,6,10
268,-0.35,4,3
268.2,-0.3,10,5
268.4,-0.45,1,3
268.6,-0.3,7,7
268.8,-0.55,0,12
269,-0.4,5,7
269.2,-0.35,0,4
269.4,-0.25,4,11
269.6,-0.1,3,9
269.8,-0.35,5,14
270,-0.35,0,13
270.2,-0.1,10,5
270.4,-0.35,4,4
270.6,-0.15,7,9
270.8,-0.4,5,9
271,-0.15,9,14
271.2,-0.3,9,5
271.4,-0.1,4,11
271.6,-0.4,9,13
271.8,-0.3,8,8
272,-0.2,7,10
272.2,-0.25,8,8
272.4,-0.05,10,11
272.6,-0.1,0,5
272.8,-0.35,10,15
273,-0.15,3,15
273.2,-0.4,8,10
273.4,-0.3,0,11
273.6,-0.3,4,4
273.8,-0.15,8,15
274,-0.2,2,8
274.2,-0.4,2,12
274.4,-0.1,4,13
274.6,-0.35,2,3
274.8,-0.2,6,7
275,-0.3,4,11
275.2,-0.3,3,9
275.4,-0.4,6,4
275.6,-0.25,10,3
275.8,-0.35,3,4
276,-0.2,5,7
276.2,-0.35,1,9
276.4,-0.4,3,13
276.6,-0.2,4,6
276.8,-0.2,6,13
277,-0.35,8,14
277.2,-0.35,6,14
277.4,-0.1,9,12
277.6,-0.3,5,14
277.8,-0.25,1,13
278,-0.3,7,8
278.2,-0.3,6,13
278.4,-0.3,0,15
278.6,-0.35,9,7
278.8,-0.25,0,5
279,-0.3,4,15
279.2,-0.4,5,7
279.4,-0.4,10,10
279.6,-0.3,3,7
279.8,-0.4,5,8
280,-0.45,10,3
280.2,-0.35,8,12
280.4,-0.3,8,8
280.6,-0.4,0,4
280.8,-0.3,9,5
281,-0.25,0,13
281.2,-0.3,0,3
281.4,-0.45,0,15
281.6,-0.3,2,14
281.8,-0.3,0,7
282,-0.15,0,7
282.2,-0.35,5,11
282.4,-0.25,5,6
282.6,-0.5,5,11
282.8,-0.2,2,15
283,-0.3,3,14
283.2,-0.2,6,8
283.4,-0.15,6,15
283.6,-0.2,5,15
283.8,0,4,11
284,-0.15,2,15
284.2,-0.15,2,5
284.4,-0.3,6,8
284.6,-0.15,0,3
284.8,-0.35,7,7
285,-0.1,3,8
285.2,-0.2,8,5
285.4,-0.3,10,6
285.6,-0.25,10,14
285.8,-0.3,1,9
286,-0.4,3,8
286.2,-0.35,3,4
286.4,-0.25,7,14
286.6,-0.4,4,5
286.8,-0.15,7,11
287,-0.4,1,10
287.2,-0.4,4,9
287.4,-0.15,4,3
287.6,-0.1,3,9
287.8,-0.25,6,9
288,-0.5,9,8
288.2,-0.15,9,6
288.4,-0.5,8,3
288.6,-0.55,10,7
288.8,-0.3,4,12
289,-0.2,5,4
289.2,-0.4,0,12
289.4,-0.35,10,10
289.6,-0.55,4,11
289.8,-0.25,6,9
290,-0.15,5,14
290.2,-0.45,7,11
290.4,-0.3,2,8
290.6,-0.3,8,13
290.8,-0.2,4,5
291,-0.3,6,8
291.2,-0.25,4,11
291.4,-0.35,8,7
291.6,-0.4,0,11
291.8,-0.25,4,12
292,-0.3,10,11
292.2,-0.4,6,11
292.4,-0.1,9,12
292.6,-0.25,4,4
292.8,-0.45,0,11
293,-0.15,7,10
293.2,-0.2,6,13
293.4,-0.25,2,8
293.6,-0.25,10,14
293.8,-0.4,6,6
294,-0.45,10,15
294.2,-0.25,3,4
294.4,-0.3,5,3
294.6,-0.15,3,8
294.8,-0.2,9,15
295,-0.25,4,12
295.2,-0.35,4,3
295.4,-0.25,8,5
295.6,-0.35,4,7
295.8,-0.45,9,12
296,-0.45,8,14
296.2,-0.25,3,5
296.4,-0.4,3,7
296.6,-0.25,8,13
296.8,-0.3,6,9
297,-0.35,2,12
297.2,-0.3,2,7
297.4,-0.4,9,5
297.6,-0.4,5,3
297.8,-0.15,7,3
298,-0.15,7,8
298.2,-0.3,8,6
298.4,-0.25,6,8
298.6,-0.25,9,10
298.8,-0.3,9,3
299,-0.25,3,9
299.2,-0.3,9,8
299.4,-0.05,7,7
299.6,-0.25,5,3
299.8,-0.2,6,15
300,-0.35,7,11
300.2,-0.3,4,15
300.4,0,10,14
300.6,-0.3,0,9
300.8,-0.15,0,15
301,-0.35,2,12
301.2,-0.35,3,8
301.4,-0.1,1,10
301.6,-0.5,2,15
301.8,-0.25,6,7
302,-0.3,1,6
302.2,-0.3,0,5
302.4,-0.2,7,12
302.6,-0.05,10,7
302.8,-0.05,9,10
303,-0.1,9,3
303.2,-0.15,1,9
303.4,-0.2,6,4
303.6,-0.15,1,11
303.8,-0.15,6,7
304,-0.4,9,5
304.2,-0.4,7,5
304.4,-0.4,0,7
304.6,-0.5,10,10
304.8,-0.35,1,9
305,-0.4,2,9
305.2,-0.3,1,13
305.4,-0.3,7,4
305.6,-0.25,5,7
305.8,-0.45,6,6
306,-0.3,9,3
306.2,-0.35,9,4
306.4,-0.45,1,7
306.6,-0.25,4,7
306.8,-0.35,2,14
307,-0.15,10,4
307.2,-0.35,9,10
307.4,-0.15,4,12
307.6,-0.3,3,14
307.8,-0.35,10,12
308,-0.4,10,15
308.2,-0.05,8,13
308.4,-0.3,4,6
308.6,-0.25,6,4
308.8,-0.4,5,11
309,-0.3,6,3
309.2,-0.3,1,12
309.4,-0.3,4,7
309.6,-0.4,10,8
309.8,-0.3,0,12
310,-0.35,0,8
310.2,-0.35,0,15
310.4,-0.2,9,3
310.6,-0.15,4,7
310.8,-0.2,5,14
311,-0.25,4,6
311.2,-0.3,0,3
311.4,-0.2,1,14
311.6,-0.25,6,4
311.8,-0.05,0,9
312,-0.45,7,3
312.2,-0.25,5,15
312.4,-0.25,8,8
312.6,-0.1,7,8
312.8,-0.25,4,6
313,-0.15,9,11
313.2,-0.25,6,8
313.4,-0.25,10,12
313.6,-0.3,4,14
313.8,-0.7,9,10
314,-0.35,8,9
314.2,-0.3,6,15
314.4,-0.4,1,10
314.6,-0.05,7,12
314.8,-0.1,7,12
315,-0.35,3,13
315.2,-0.55,10,14
315.4,-0.25,0,8
315.6,-0.55,8,11
315.8,-0.4,0,5
316,-0.3,8,7
316.2,-0.4,9,10
316.4,-0.2,1,12
316.6,-0.05,3,15
316.8,-0.25,10,11
317,-0.35,0,15
317.2,-0.25,5,12
317.4,-0.2,2,8
317.6,-0.4,7,12
317.8,-0.15,0,10
318,-0.1,5,12
318.2,-0.3,3,15
318.4,-0.25,1,4
318.6,-0.25,2,11
318.8,-0.4,7,7
319,-0.25,1,4
319.2,-0.1,2,4
319.4,-0.25,9,7
319.6,-0.3,0,15
319.8,-0.4,5,7
320,-0.3,10,5
320.2,-0.3,9,3
320.4,-0.4,4,15
320.6,-0.25,7,13
320.8,-0.2,0,4
321,-0.4,6,11
321.2,-0.3,9,4
321.4,-0.3,10,12
321.6,-0.4,1,12
321.8,-0.4,5,11
322,-0.35,6,5
322.2,-0.3,0,12
322.4,-0.2,2,11
322.6,-0.15,4,3
322.8,-0.3,3,6
323,-0.35,7,5
323.2,-0.25,4,13
323.4,-0.25,6,13
323.6,-0.3,5,14
323.8,-0.35,0,8
324,-0.3,7,5
324.2,-0.3,6,8
324.4,-0.25,6,5
324.6,-0.25,7,9
324.8,-0.3,8,4
325,-0.25,9,4
325.2,-0.35,7,10
325.4,-0.15,4,12
325.6,-0.25,5,14
325.8,-0.35,1,6
326,-0.15,6,13
326.2,-0.25,4,3
326.4,-0.2,4,5
326.6,-0.25,8,5
326.8,-0.1,8,9
327,-0.25,8,14
327.2,-0.2,9,11
327.4,-0.3,6,8
327.6,-0.35,5,8
327.8,-0.25,5,6
328,-0.25,2,10
328.2,-0.25,7,8
328.4,-0.15,2,4
328.6,-0.35,10,13
328.8,-0.15,4,9
329,-0.1,9,6
329.2,0.1,0,6
329.4,-0.4,5,6
329.6,-0.35,4,10
329.8,-0.25,2,8
330,-0.25,3,15
330.2,-0.4,1,14
330.4,-0.3,8,13
330.6,-0.15,6,13
330.8,-0.25,6,7
331,-0.5,3,7
331.2,-0.4,1,8
331.4,-0.2,2,7
331.6,-0.4,1,5
331.8,-0.2,9,9
332,-0.25,4,5
332.2,-0.2,8,9
332.4,-0.3,5,8
332.6,-0.35,3,5
332.8,-0.4,6,8
333,-0.25,10,12
333.2,-0.3,4,5
333.4,-0.35,7,14
333.6,-0.25,3,15
333.8,-0.2,8,3
334,-0.35,7,7
334.2,-0.2,1,10
334.4,-0.25,5,4
334.6,-0.4,10,4
334.8,-0.4,7,4
335,-0.15,4,4
335.2,-0.1,0,7
335.4,-0.6,8,5
335.6,-0.2,8,15
335.8,-0.25,7,7
336,-0.05,4,14
336.2,-0.35,10,9
336.4,-0.1,4,13
336.6,-0.35,0,10
336.8,-0.3,5,13
337,-0.4,10,7
337.2,-0.2,10,13
337.4,-0.35,7,7
337.6,-0.35,0,8
337.8,-0.4,9,4
338,-0.2,2,12
338.2,-0.4,0,9
338.4,-0.05,0,8
338.6,-0.15,7,11
338.8,-0.35,6,3
339,-0.2,4,15
